iter	Passed	Remaining
0	59	59229
1	59	29805
2	60	19981
3	60	15064
4	60	12100
5	61	10129
6	61	8722
7	61	7663
8	62	6839
9	62	6176
10	62	5641
11	63	5201
12	63	4824
13	63	4498
14	64	4212
15	64	3964
16	64	3744
17	65	3546
18	65	3369
19	65	3210
20	65	3069
21	66	2938
22	66	2818
23	66	2712
24	66	2612
25	67	2518
26	67	2432
27	67	2351
28	67	2276
29	68	2207
30	68	2143
31	68	2083
32	69	2025
33	69	1971
34	69	1920
35	69	1872
36	70	1826
37	70	1783
38	70	1741
39	70	1702
40	71	1665
41	71	1630
42	71	1596
43	71	1563
44	72	1532
45	72	1502
46	72	1473
47	72	1446
48	73	1420
49	73	1395
50	73	1370
51	73	1347
52	74	1324
53	74	1303
54	74	1282
55	74	1262
56	75	1242
57	75	1224
58	75	1206
59	75	1188
60	76	1171
61	76	1154
62	76	1138
63	76	1123
64	77	1107
65	77	1093
66	77	1079
67	77	1066
68	78	1052
69	78	1039
70	78	1027
71	78	1014
72	78	1002
73	79	990
74	79	979
75	79	968
76	79	957
77	80	947
78	80	936
79	80	926
80	80	916
81	81	907
82	81	896
83	81	887
84	81	878
85	81	869
86	82	861
87	82	853
88	82	844
89	82	836
90	82	829
91	83	821
92	83	813
93	83	806
94	83	799
95	84	792
96	84	786
97	84	779
98	84	773
99	85	766
100	85	760
101	85	754
102	85	748
103	86	742
104	86	737
105	86	731
106	86	725
107	87	720
108	87	714
109	87	709
110	87	704
111	88	699
112	88	694
113	88	689
114	88	684
115	89	679
116	89	674
117	89	670
118	89	665
119	90	661
120	90	656
121	90	652
122	90	648
123	91	643
124	91	639
125	91	635
126	91	631
127	92	627
128	92	623
129	92	619
130	92	615
131	93	611
132	93	608
133	93	604
134	93	600
135	94	597
136	94	593
137	94	590
138	94	586
139	94	583
140	95	580
141	95	576
142	95	572
143	95	569
144	96	566
145	96	563
146	96	560
147	96	557
148	97	554
149	97	551
150	97	548
151	97	545
152	98	542
153	98	539
154	98	537
155	98	534
156	99	532
157	99	529
158	99	526
159	99	524
160	99	520
161	100	518
162	100	515
163	100	513
164	100	510
165	101	508
166	101	505
167	101	503
168	101	500
169	102	498
170	102	496
171	102	493
172	102	491
173	103	489
174	103	487
175	103	484
176	103	482
177	104	480
178	104	478
179	104	476
180	104	474
181	105	471
182	105	469
183	105	467
184	105	465
185	105	463
186	106	461
187	106	459
188	106	457
189	106	455
190	107	454
191	107	452
192	107	450
193	107	448
194	108	446
195	108	444
196	108	442
197	108	441
198	109	439
199	109	437
200	109	435
201	109	434
202	110	432
203	110	430
